"doc_id","text","index"
"1540421852169920516","I'm just saying, I might have been more inclined to accept your ""bodily autonomy"" argument before you tried to get me fired over an emergency use vaccine for a virus I beat on two days with OTCs and vitamins","1"
"1540416381002334208","Seems like a lot of folks today are in favour of bodily autonomy and the right to chose.

Except for vaccines of course, where you have no bodily autonomy and no right to chose. https://t.co/q5RHuz76qH","2"
"1540435701338198017","Nancy Pelosi just issued a statement calling Republicans the party of punishment and control. Dude - you just spent a year firing people from their jobs if they didn't take the vaccine against their wishes. We are living in the death of shame.","3"
"1540450099435868162","People who have been injected with Pfizer's mRNA vaccine are 4.4 times more likely to end up in hospital with a serious side effect than people who have not been vaccinated from corona.","4"
"1540429777198268419","So much anger. I really don't get it. At least 23 states in this country have no restrictions on abortions. Move to a different state if your state doesn't allow it. That's what you said about guns, masks, and vaccines, right? https://t.co/Mwymt14R65","5"
"1540409132142022657","This what was found in the blood clots of som1 who died from vaccine side effects..that's a very thin wire(nanowire) Its in yo blood right now if you were vaxxed..#somethingsoweto #EastgateShoppingCentre #Christianity #doggy https://t.co/1i7hNXzGOQ","6"
"1540334843250327553","A peer-reviewed study in the New England Journal of Medicine shows two doses of an mRNA COVID-19 vaccine yield negative protection against symptomatic SARS-CoV-2 infection, while previous infection without vaccination offers about 50% immunity.

https://t.co/gAjoLvqDt5","7"
"1538318121701978117","For children 2 to &lt; 5 years of age: 6 severe cases of COVID in vaccine group, 1 severe case in placebo group (by FDA criteria) (2:1 vax:placebo randomization)

Appears only case that was hospitalized was coinfected with parainfluenza. https://t.co/2VpxmZyyAf","8"
"1540410651394179072","As of June 17, there have been 29,031 deaths, 32,430 life-threatening adverse events, 54,306 cases of permanent disability, and over 295,000 hospitalizations and ER visits following COVID-19 vaccination reported to the Vaccine Adverse Event Reporting System.
#CovidVaccine https://t.co/wnkagsvVwR","9"
"1537877682980933633","What members of FDA vaccine advisory committee saw + heard during Wednesday's meeting should have stopped them from recommending authorization of COVID-19 vaccines for children as young as 6 months — but it didn't.

https://t.co/PMHsE2m5m2","10"
"1539488368706437121","A new paper by BMJ Editor Dr Peter Doshi has analysed data from the Pfizer and Moderna Covid vaccine trials and found that the vaccines are more likely to put you in hospital than keep you out. https://t.co/ZiOVHjmTrb","11"
"1538751157073371137","VACCINES USE ABORTED FETUS PARTS! https://t.co/xKHnbVlhF0","12"
"1539484414563848193","@Justinredalen @Ken47188750 @unhealthytruth @FredSimonTLM There is plenty of documentation and interviews on the admittance of fetus matter in vaccines in general. It is true. There's so much more that trumps that though.","13"
"1538288584150556672","The unvaxxed with NEVER be vaccine injured. They will never suffer from vaccine induced: 
- death 
- myocarditis 
- pericarditis 
- blood clots
- stroke
- auto immune disease etc etc 

Both Vaxxed &amp; unvaxxed can get Covid-19. 

NOT WORTH THE RISK. 💉","14"
"1540158263920152576","Because we know NOTHING about the long term affects of this vaccine except that male sperm count was reduced by 22%, blood clots up, heart attacks up!!! https://t.co/iizVmB6gxm","15"
"1539139734454292481","I remember @cooper_m had one of our health experts fat checking the claim that COVID vaccines affected male fertility...

You gonna get them back on to discuss the reduced sperm count these vaccines cause in men??

Or you still afraid to be a journalist??","16"
"1537716489695936513","@adapt1111 @cryptochris1974 @HukAleksandra A lab that studies covid strains was pretty much across the street from the wet market in #Wuhan where covid apparently came from. Might not have been on purpose but I think very likely man made. Just saying","17"
"1538415636975599616","@ArtSavants @monolithgraphi1 @realnikohouse @elonmusk @TheTexanNews @MayraFlores2022 2/2 people banned for Covid lab leak theory which is now generally accepted as the most likely origin.  This is the point- those who decide what should be censored will always be fallible and have biases: https://t.co/QZnD7V4Wby","18"
